g_id,u_id,date,Q1-1,Q1-2,Q2-1,Q2-2,Q3-1,Q3-2,Q4-1,Q4-2,Q5-1,Q5-2,Q6-1,Q6-2,Q7-1,Q7-2,Q8-1,Q8-2,Q9-1,Q9-2,Q10-1,Q10-2
KMU,JSY1,2021/07/26 14:06,1,4,1,3,3,2,4,1,5,2,4,3,3,4,1,1,1,2,2,3
KMU,JSY2,2021/07/27 14:18,3,3,1,3,2,4,4,4,3,2,2,2,3,5,1,2,4,4,1,1
KMU,JSY3,2021/07/27 14:20,4,4,1,2,4,4,4,4,4,2,1,1,4,4,1,5,5,2,4,1
KMU,JSY4,2021/07/27 14:22,1,1,1,4,4,3,1,4,1,5,3,2,5,3,1,3,5,1,2,1
KMU,JSY5,2021/07/27 14:24,5,4,4,3,1,4,2,5,1,1,2,1,1,1,1,1,5,1,3,1
KMU,JSY6,2021/08/02 0:33,3,4,1,1,1,3,3,1,1,4,2,4,1,3,1,1,1,1,3,1
KMU,JSY7,2021/08/02 13:24,1,2,1,4,1,3,4,2,1,1,5,1,4,1,3,3,2,4,1,5
KMU,JSY8,2021/08/02 15:40,4,4,1,2,4,4,4,5,2,4,1,4,4,1,1,1,1,1,1,4
KMU,JSY9,2021/08/02 15:41,3,5,1,5,1,5,2,3,4,4,5,4,1,1,1,1,1,1,5,1
KMU,JSY10,2021/08/02 15:42,5,1,1,4,1,3,1,4,1,4,1,1,1,1,5,4,5,3,1,1
KMU,JSY11,2021/08/02 16:11,1,1,1,1,1,1,2,1,2,1,5,1,5,1,5,1,5,1,2,1
KMU,JSY12,2021/08/03 13:00,1,2,5,4,3,5,5,3,3,4,3,3,1,1,4,2,3,3,2,4
KMU,JSY13,2021/08/03 22:07,1,2,1,2,4,4,1,2,1,2,3,4,1,2,1,2,1,5,1,3
KMU,JSY14,2021/08/03 22:10,1,5,5,1,2,4,4,2,3,3,3,3,4,2,2,4,5,1,1,5
KMU,JSY15,2021/08/03 22:20,1,1,2,3,5,3,2,4,5,3,3,3,4,5,2,2,4,4,1,2
KMU,JSY16,2021/08/03 22:31,1,4,1,4,2,5,3,3,4,5,4,2,3,3,2,3,5,4,2,2
KMU,JSY17,2021/08/03 22:42,1,5,1,5,1,5,2,4,2,4,2,4,3,3,3,3,3,3,2,5
KMU,JSY18,2021/08/03 23:06,1,1,2,4,2,4,3,3,3,4,2,3,2,3,4,5,4,3,5,4
KMU,JSY19,2021/08/03 23:08,1,1,1,1,2,2,1,1,1,1,1,1,1,1,2,2,1,1,1,1
KMU,JSY20,2021/08/04 20:48,4,3,4,5,3,4,5,5,3,3,3,4,3,3,1,4,1,1,1,1
KMU,JSY21,2021/08/04 20:51,4,4,4,3,3,4,1,2,2,3,3,4,1,1,2,3,1,1,3,4
KMU,JSY22,2021/08/17 15:55,2,4,3,3,4,1,1,5,1,5,5,2,2,5,4,1,1,4,5,1
KMU,JSY23,2021/11/11 15:06,1,5,2,4,3,3,5,2,5,3,4,4,3,5,3,4,3,3,2,2
hello,JSY,2021/11/11 15:06,1,5,2,4,3,3,5,2,5,3,4,4,3,5,3,4,3,3,2,2
