g_id,u_id,date,Q1-1,Q1-2,Q1-3,Q2-1,Q2-2,Q2-3,Q3-1,Q3-2,Q3-3,Q4-1,Q4-2,Q4-3
KMU,JSY1,2021/07/26 14:05,6,5,4,3,2,1,1,2,3,4,5,6
KMU,JSY2,2021/07/27 14:17,5,5,6,6,5,5,5,5,5,4,6,5
KMU,JSY3,2021/07/27 14:20,5,4,6,6,5,4,3,5,4,5,4,4
KMU,JSY4,2021/07/27 14:22,4,6,6,6,6,5,4,6,6,5,4,6
KMU,JSY5,2021/07/27 14:24,5,5,6,5,4,6,6,5,4,4,5,6
KMU,JSY6,2021/08/02 0:33,6,6,6,6,5,4,3,3,3,3,2,1
KMU,JSY7,2021/08/02 13:24,6,5,6,5,4,5,4,3,3,3,2,1
KMU,JSY8,2021/08/02 15:40,6,5,4,6,5,5,6,6,6,4,5,5
KMU,JSY9,2021/08/02 15:41,5,5,5,5,4,5,5,6,5,6,6,6
KMU,JSY10,2021/08/02 15:42,4,5,4,4,5,4,4,5,4,5,6,5
KMU,JSY11,2021/08/02 16:11,4,5,5,6,4,5,3,6,4,5,2,3
KMU,JSY12,2021/08/03 13:00,6,6,6,5,5,5,6,6,6,4,5,6
KMU,JSY13,2021/08/03 22:07,4,4,2,4,5,4,2,5,4,4,5,5
KMU,JSY14,2021/08/03 22:10,6,6,6,6,6,6,6,6,6,6,6,6
KMU,JSY15,2021/08/03 22:20,5,5,5,5,6,5,6,5,6,6,6,6
KMU,JSY16,2021/08/03 22:30,6,5,6,5,4,5,5,6,5,6,6,6
KMU,JSY17,2021/08/03 22:42,2,3,4,3,2,1,1,2,3,4,3,2
KMU,JSY18,2021/08/03 23:05,6,6,5,5,5,6,6,6,5,5,5,6
KMU,JSY19,2021/08/03 23:07,1,2,3,6,5,4,2,3,4,5,4,3
KMU,JSY20,2021/08/04 20:48,2,2,3,3,4,5,6,5,4,5,5,4
KMU,JSY21,2021/08/04 20:51,6,6,5,5,5,6,6,6,5,5,5,6
KMU,JSY22,2021/08/17 15:54,6,6,2,6,6,1,6,6,4,2,2,1
KMU,JSY23,2021/08/18 13:00,6,6,6,5,5,5,6,6,6,4,5,6
KMU,JSY24,2021/08/19 22:07,4,4,2,4,5,4,2,5,4,4,5,5
KMU,JSY25,2021/08/20 22:10,6,6,6,6,6,6,6,6,6,6,6,6
KMU,JSY26,2021/08/21 22:20,5,5,5,5,6,5,6,5,6,6,6,6
KMU,JSY27,2021/08/22 22:30,6,5,6,5,4,5,5,6,5,6,6,6
KMU,JSY28,2021/08/23 22:42,2,3,4,3,2,1,1,2,3,4,3,2
KMU,JSY29,2021/08/24 23:05,6,6,5,5,5,6,6,6,5,5,5,6
KMU,JSY30,2021/08/26 23:07,1,2,3,6,5,4,2,3,4,5,4,3
hello,JSY,2021/08/26 23:07,1,2,3,6,5,4,2,3,4,5,4,3
